RaceName,Driver,DriverNumber,LapNumber,Stint,SpeedI1,SpeedI2,SpeedFL,SpeedST,TyreLife,TrackStatus,Position,LapStartTimeSec,TimeSec,AirTemp,TrackTemp,WindSpeed,Humidity,Year,PostRegulation,Time,LapTime,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,IsPersonalBest,Compound,Team,LapStartTime,LapStartDate,DeletedReason
Styrian Grand Prix,NOR,4,35.751773049645394,1.50354609929078,290.79661016949154,229.51063829787233,272.6546762589928,289.5248226950355,18.98581560283688,1.553191489361702,6.886524822695035,4480.529283687943,4480.385645390072,23.881560283687943,46.07588652482269,1.5326241134751772,33.161702127659574,2020,0,0 days 00:34:23.450000,0 days 00:01:34.458000,0 days 01:20:23.724000,0 days 01:20:01.252000,0 days 00:00:23.836000,0 days 00:00:32.792000,0 days 00:00:39.162000,0 days 00:34:47.306000,0 days 00:33:44.316000,0 days 00:34:23.634000,False,SOFT,McLaren,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,RAI,7,35.5,1.4285714285714286,297.45454545454544,227.9,272.04347826086956,295.3642857142857,18.585714285714285,1.5571428571428572,12.257142857142858,4481.3763,4480.085828571429,23.907857142857143,46.11714285714285,1.515,33.09571428571428,2020,0,0 days 00:34:34.813000,0 days 00:01:45.821000,0 days 01:26:26.797000,0 days 01:26:05.330000,0 days 00:00:24.547000,0 days 00:00:37.717000,0 days 00:00:44.910000,0 days 00:34:59.385000,0 days 00:33:49.958000,0 days 00:34:34.987000,False,MEDIUM,Alfa Romeo Racing,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 9
Styrian Grand Prix,RIC,3,35.751773049645394,1.446808510638298,297.90551181102364,228.66666666666666,275.7841726618705,296.290780141844,18.397163120567377,1.553191489361702,8.99290780141844,4487.991156028369,4488.045666666667,23.892198581560287,46.109219858156024,1.5134751773049646,33.13191489361702,2020,0,0 days 00:34:18.607000,0 days 00:01:29.615000,0 days 01:17:53.801000,0 days 01:17:32.173000,0 days 00:00:24.343000,0 days 00:00:32.283000,0 days 00:00:35.285000,0 days 00:34:43.012000,0 days 00:33:43.406000,0 days 00:34:18.810000,False,MEDIUM,Renault,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,STR,18,35.751773049645394,1.5673758865248226,296.37301587301585,226.45714285714286,275.24264705882354,294.2142857142857,19.113475177304963,1.553191489361702,7.581560283687943,4486.855375886525,4486.769134751773,23.887943262411348,46.09078014184397,1.523404255319149,33.118439716312054,2020,0,0 days 00:34:24.266000,0 days 00:01:35.274000,0 days 01:13:21.931000,0 days 01:13:00.079000,0 days 00:00:24.685000,0 days 00:00:32.941000,0 days 00:00:39.691000,0 days 00:34:49.010000,0 days 00:33:44.674000,0 days 00:34:24.438000,False,SOFT,Racing Point,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 9
Styrian Grand Prix,TSU,22,35.5,1.6285714285714286,303.36842105263156,228.94285714285715,278.0289855072464,305.5285714285714,20.271428571428572,1.1571428571428573,10.0,4459.947814285714,4460.1218,26.82857142857143,52.00857142857143,0.40142857142857147,32.705714285714286,2021,0,0 days 00:34:25.060000,0 days 00:01:19.228000,0 days 01:04:37.364000,0 days 01:04:16.156000,0 days 00:00:18.038000,0 days 00:00:33.526000,0 days 00:00:23.306000,0 days 00:34:43.106000,0 days 00:34:01.908000,0 days 00:34:25.259000,False,SOFT,AlphaTauri,0 days 00:33:05.677000,2021-06-27 13:03:05.722,TRACK LIMITS AT TURN 9
Styrian Grand Prix,VER,33,36.0,1.647887323943662,292.1512605042017,233.16901408450704,272.2230215827338,287.6901408450704,19.570422535211268,1.5492957746478873,1.6126760563380282,4458.097683098592,4458.777309859155,23.914788732394367,46.16338028169014,1.5063380281690142,33.118309859154934,2020,0,0 days 00:34:10.055000,0 days 00:01:21.063000,0 days 01:02:28.580000,0 days 01:02:07.632000,0 days 00:00:25.541000,0 days 00:00:30.916000,0 days 00:00:29.488000,0 days 00:34:35.610000,0 days 00:33:40.585000,0 days 00:34:10.244000,False,SOFT,Red Bull Racing,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
Styrian Grand Prix,VET,5,35.014084507042256,1.6056338028169015,295.344262295082,223.54929577464787,275.536231884058,294.19718309859155,18.661971830985916,1.3380281690140845,11.464788732394366,4426.693901408451,4427.193309859154,26.738028169014086,51.839436619718306,0.4225352112676056,32.74366197183099,2020,0,0 days 00:34:30.153000,0 days 00:01:41.037000,0 days 01:05:50.824000,0 days 00:34:26.653000,0 days 00:00:17.911000,0 days 00:00:39.412000,0 days 00:00:38.926000,0 days 00:34:43.561000,0 days 00:33:51.227000,0 days 00:34:30.201000,False,MEDIUM,Ferrari,0 days 00:32:48.804000,2020-07-12 13:12:50.826,TRACK LIMITS AT TURN 10
São Paulo Grand Prix,ALO,14,35.67298578199052,2.6872037914691944,293.59444444444443,234.1042654028436,299.3546798029557,273.68715083798884,14.350710900473933,10.838862559241706,8.796208530805687,7478.420417061612,7478.76045971564,19.652132701421802,33.72796208530806,1.2459715639810425,70.90995260663507,2023,1,0 days 01:04:30.422000,0 days 00:02:07.301000,0 days 01:04:45.959000,0 days 01:04:27.460000,0 days 00:00:41.778000,0 days 00:01:04.852000,0 days 00:00:37.849000,0 days 01:05:12.238000,0 days 01:03:52.648000,0 days 01:04:30.460000,False,SOFT,Aston Martin,0 days 01:02:22.839000,2023-11-05 17:03:22.842,TRACK LIMITS AT TURN 2 LAP 16 
São Paulo Grand Prix,ANT,12,36.0,2.0422535211267605,299.72,249.69014084507043,301.8695652173913,295.1111111111111,15.0,12.070422535211268,3.352112676056338,6243.851267605633,6245.727197183099,17.39154929577465,30.78450704225352,1.6070422535211266,69.74647887323944,2025,1,0 days 00:58:13.741000,0 days 00:01:19.069000,0 days 01:27:01.261000,0 days 01:26:37.851000,0 days 00:00:19.428000,0 days 00:00:38.163000,0 days 00:00:17.048000,0 days 00:58:33.279000,0 days 00:57:56.834000,0 days 00:58:13.974000,False,SOFT,Mercedes,0 days 00:56:54.480000,2025-11-09 17:03:14.079,TRACK LIMITS AT TURN 2 LAP 6 
São Paulo Grand Prix,BEA,50,35.50714285714286,2.157142857142857,291.85585585585585,229.22142857142856,300.34558823529414,267.93700787401576,15.835714285714285,14.778571428571428,10.492857142857142,7209.7271,7210.134928571429,19.271428571428572,27.803571428571427,1.175,77.4,2024,1,0 days 01:13:35.537000,0 days 00:01:40.491000,0 days 01:51:26.516000,0 days 01:50:50.609000,0 days 00:00:22.660000,0 days 00:00:49.847000,0 days 00:00:18.666000,0 days 01:13:58.205000,0 days 01:13:16.974000,0 days 01:13:35.673000,False,INTERMEDIATE,Haas F1 Team,0 days 01:11:54.770000,2024-11-03 15:49:57.516,TRACK LIMITS AT TURN 7 LAP 36 
